,region,yearweek,max_wind,min_wind,avg_wind,max_rain,min_rain,avg_rain,max_snow,min_snow,avg_snow,max_tempmax,min_tempmax,avg_tempmax,max_tempmin,min_tempmin,avg_tempmin
577,New York,201602,4.7,2.2,3.1142857142857143,6.1,0.0,1.0571428571428572,10.0,0.0,1.4285714285714286,11.1,-1.0,5.814285714285715,5.6,-5.5,-1.7571428571428573
578,New York,201603,7.0,2.5,3.985714285714286,58.7,0.0,8.428571428571429,693.0,0.0,99.71428571428571,2.8,-2.7,0.0571428571428571,-2.7,-8.8,-5.614285714285714
579,New York,201604,3.5,1.5,2.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,13.3,3.9,6.985714285714287,3.3,-2.1,0.19999999999999998
580,New York,201605,3.7,1.6,2.6142857142857143,18.5,0.0,4.614285714285714,64.0,0.0,9.142857142857142,15.0,4.4,10.62857142857143,6.7,-1.0,3.057142857142857
581,New York,201606,5.5,1.8,3.557142857142857,1.3,0.0,0.2285714285714286,3.0,0.0,0.42857142857142855,3.9,-9.3,-1.1428571428571428,-0.5,-18.2,-7.828571428571428
582,New York,201607,3.5,2.2,2.9,25.7,0.0,5.385714285714285,36.0,0.0,5.142857142857143,16.1,1.7,7.542857142857143,6.7,-10.5,-0.5
583,New York,201608,6.5,2.3,3.914285714285714,31.0,0.0,5.585714285714286,0.0,0.0,0.0,16.1,3.9,10.242857142857144,3.3,-3.2,1.0571428571428572
584,New York,201609,4.7,1.5,3.1142857142857143,3.6,0.0,1.0999999999999999,10.0,0.0,1.4285714285714286,16.1,2.2,8.257142857142858,8.3,-3.2,0.6142857142857144
585,New York,201610,3.5,1.0,2.1142857142857143,1.5,0.0,0.21428571428571427,0.0,0.0,0.0,26.1,15.0,19.685714285714287,17.2,2.2,8.242857142857144
586,New York,201611,6.3,1.6,3.2857142857142856,7.4,0.0,1.385714285714286,0.0,0.0,0.0,18.3,6.1,12.542857142857143,8.9,0.0,5.0
